"scenario_label","data_n","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","n_replicates","n_effective_data_sets","n_rows","n_skipped","n_fit_attempted","n_successful","convergence_rate","censoring_proportion","successful_fit_censoring_proportion"
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.09992,0.09992
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.09941,0.09941
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.095586,0.095586
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.09519,0.09519
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.072836,0.072836
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.072794,0.072794
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.06897,0.06897
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.068948,0.068948
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.0999557142857143,0.0999557142857143
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0994085714285714,0.0994085714285714
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.09543,0.09543
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0950371428571429,0.0950371428571429
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.0729857142857143,0.0729857142857143
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0729528571428571,0.0729528571428571
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.0689742857142857,0.0689742857142857
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0689585714285714,0.0689585714285714
"n600-b1_1-b2_2p5-b3_2p5",600,0,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.100603333333333,0.100603333333333
"n600-b1_1-b2_2p5-b3_2p8",600,0,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.09999,0.09999
"n600-b1_1-b2_2p8-b3_2p5",600,0,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.09614,0.09614
"n600-b1_1-b2_2p8-b3_2p8",600,0,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0957166666666667,0.0957166666666667
"n600-b1_2-b2_2p5-b3_2p5",600,0.6931472,0.9162907,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.07312,0.07312
"n600-b1_2-b2_2p5-b3_2p8",600,0.6931472,0.9162907,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.07309,0.07309
"n600-b1_2-b2_2p8-b3_2p5",600,0.6931472,1.029619,0.9162907,1.5,1.8,50,500,500,0,500,500,1,0.0692333333333333,0.0692333333333333
"n600-b1_2-b2_2p8-b3_2p8",600,0.6931472,1.029619,1.029619,1.5,1.8,50,500,500,0,500,500,1,0.0692166666666667,0.0692166666666667
