"scenario_label","data_n","true_beta_1","true_beta_2","true_beta_3","parameter","bias","absolute_bias","rmse","coverage_probability","bias_mc_se"
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,"beta_1",-0.000449423603091998,0.103340499902064,0.130618986974472,0.946,0.0058472743040581
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,"beta_2",0.00499559882613494,0.085760650740806,0.106369775060169,0.96,0.00475651078703423
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,"beta_3",0.00834039478482636,0.124476333559199,0.157477018422411,0.934,0.00703974533067303
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,"gamma_1",-1.14928775646382e-05,0.0298183246206256,0.0397142806790383,0.95,0.001777855296261
"n1000-b1_1-b2_2p5-b3_2p5",1000,0,0.9162907,0.9162907,"gamma_2",0.00124615692015944,0.0312039127571098,0.0434336487089287,0.956,0.00194355671169768
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,"beta_1",-0.000333185988128838,0.103306191760337,0.130620126786515,0.946,0.00584734091782441
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,"beta_2",0.00498599539395735,0.0857846826291048,0.106433676493919,0.96,0.00475939474729807
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,"beta_3",0.00872353549328054,0.125129040557629,0.158490142577443,0.936,0.00708423766484548
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,"gamma_1",0.000279190496360792,0.0278604887013793,0.0369267003511616,0.95,0.00165301888854126
"n1000-b1_1-b2_2p5-b3_2p8",1000,0,0.9162907,1.029619,"gamma_2",0.001477522533499,0.0288627251031816,0.0393748434050642,0.96,0.00176141864187266
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,"beta_1",-0.000176186625887735,0.103208733168359,0.130532825014927,0.946,0.00584344645412495
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,"beta_2",0.00520542277349,0.0862954889963235,0.10714212813337,0.954,0.00479067631430996
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,"beta_3",0.00823094947475231,0.124387348655063,0.157458639270724,0.934,0.0070391795830102
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,"gamma_1",0.000269136664760944,0.0263846901690681,0.0352090170904354,0.946,0.0015761260248956
"n1000-b1_1-b2_2p8-b3_2p5",1000,0,1.029619,0.9162907,"gamma_2",0.00169664848084766,0.027347654979303,0.0374723680527184,0.962,0.00167577323486534
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,"beta_1",-0.000139950029865184,0.103172785190974,0.130523272087858,0.946,0.00584302077049786
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,"beta_2",0.00509170786221178,0.086238415482403,0.107140560994473,0.956,0.00479085098378253
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,"beta_3",0.00861476535226134,0.125211495300007,0.158593054574521,0.934,0.00708911819254698
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,"gamma_1",0.000377902319911831,0.024996054973173,0.0334723000602595,0.954,0.00149833044103842
"n1000-b1_1-b2_2p8-b3_2p8",1000,0,1.029619,1.029619,"gamma_2",0.00195315916001915,0.0261599531394002,0.035436848227702,0.962,0.00158395979130108
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,"beta_1",0.00200989774629107,0.0950600428218474,0.122551955115728,0.936,0.00548544110858781
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,"beta_2",0.00432883528493534,0.0867479967426143,0.107268425429276,0.958,0.00479808250760695
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,"beta_3",0.00786220414361922,0.122754265630841,0.155813852252826,0.944,0.00696630054521849
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,"gamma_1",-0.000672889923872774,0.0298598911238193,0.0400076203943706,0.95,0.00179073372450652
"n1000-b1_2-b2_2p5-b3_2p5",1000,0.6931472,0.9162907,0.9162907,"gamma_2",0.000435330641250264,0.0309431335590516,0.0427676594089796,0.956,0.0019144441883249
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,"beta_1",0.00208227924733878,0.0950730941960414,0.122615502462674,0.938,0.00548823218346488
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,"beta_2",0.00433361767592977,0.0867370180848102,0.107257186925488,0.958,0.00479757034053286
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,"beta_3",0.00851649597325773,0.123777907430282,0.157168210181691,0.942,0.00702547833729796
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,"gamma_1",-0.000260697095924675,0.0279792549704919,0.0372049012993129,0.954,0.00166547923361018
"n1000-b1_2-b2_2p5-b3_2p8",1000,0.6931472,0.9162907,1.029619,"gamma_2",0.00100423116212991,0.0287746223301636,0.0392971033828758,0.958,0.00175860544020069
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,"beta_1",0.00210500934351582,0.0954099536573571,0.123108454305461,0.938,0.00551028560140992
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,"beta_2",0.00436075946162531,0.0873907216963892,0.108207045596468,0.958,0.00484007744634745
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,"beta_3",0.00817231523961576,0.123410951948895,0.156586131474888,0.944,0.00700020466833559
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,"gamma_1",-0.000146666671643139,0.026514556376712,0.035343274914543,0.952,0.00158216865613553
"n1000-b1_2-b2_2p8-b3_2p5",1000,0.6931472,1.029619,0.9162907,"gamma_2",0.00128405713938973,0.0273114870392271,0.0374921841112507,0.96,0.00167739603203477
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,"beta_1",0.00213537107957156,0.0953872331368359,0.12308532078123,0.934,0.00550922643536949
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,"beta_2",0.00433066736960825,0.0872967888643018,0.108092937032581,0.954,0.0048350192901372
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,"beta_3",0.0088028512223112,0.124562255806622,0.158069039062953,0.942,0.00706516063730672
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,"gamma_1",0.000104717180108517,0.0249477634153168,0.0333286449780101,0.954,0.00149198769274934
"n1000-b1_2-b2_2p8-b3_2p8",1000,0.6931472,1.029619,1.029619,"gamma_2",0.00152280639493785,0.0258179327376344,0.0352020355405727,0.964,0.00157438435776608
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,"beta_1",-0.00111085856210536,0.0854250898016519,0.106902402297689,0.954,0.00478535039232225
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,"beta_2",0.00116152936133694,0.0707732519144977,0.0892432095229583,0.948,0.00399473634021802
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,"beta_3",0.00264539141335793,0.101983188001363,0.127311538798323,0.948,0.00569801670932735
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,"gamma_1",0.000955031293626151,0.0208959586502367,0.0293790095210574,0.942,0.00131449001492283
"n1400-b1_1-b2_2p5-b3_2p5",1400,0,0.9162907,0.9162907,"gamma_2",-0.000916817367260164,0.0234959019846943,0.0335445068011255,0.948,0.00150109738244888
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,"beta_1",-0.00114025985501334,0.0853698427043766,0.106848446482743,0.954,0.00478292100218093
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,"beta_2",0.00111270266895345,0.0706889092257157,0.0891807783782624,0.95,0.0039919691739313
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,"beta_3",0.00284982619566736,0.102425772715272,0.127795457097825,0.95,0.00571948771923973
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,"gamma_1",0.00110563552723661,0.0195330340395637,0.0272622319069991,0.944,0.00121942104814093
"n1400-b1_1-b2_2p5-b3_2p8",1400,0,0.9162907,1.029619,"gamma_2",-0.000747137683984591,0.0220670659562831,0.031407729270734,0.952,0.00140560518579238
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,"beta_1",-0.00108155641335897,0.0854214130586597,0.106918670646554,0.954,0.00478609215261143
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,"beta_2",0.00176928324365527,0.0707955323166165,0.0892867455900164,0.954,0.00399623885669006
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,"beta_3",0.00242156507821938,0.101557155567065,0.126878979727597,0.952,0.00567884862291115
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,"gamma_1",0.00111970614372515,0.0185775998360247,0.0260013569259768,0.946,0.00116290081989881
"n1400-b1_1-b2_2p8-b3_2p5",1400,0,1.029619,0.9162907,"gamma_2",-0.000485300414968819,0.0212266750332178,0.0301467044680911,0.942,0.0013493769613993
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,"beta_1",-0.00109700204063912,0.0853550092186134,0.106866927133306,0.954,0.00478376862812692
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,"beta_2",0.00168133736965874,0.0707984006251092,0.0892513927208055,0.954,0.00399473205395198
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,"beta_3",0.00254447289999286,0.102091485710038,0.127474235376087,0.948,0.00570539356365456
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,"gamma_1",0.00110214277699545,0.0174456760460203,0.0243225746931176,0.946,0.00108770955044767
"n1400-b1_1-b2_2p8-b3_2p8",1400,0,1.029619,1.029619,"gamma_2",-0.000424412870309666,0.0200827372360048,0.0287697444652212,0.942,0.00128777049442512
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,"beta_1",0.00173398565773071,0.083571699780485,0.1044533735757,0.952,0.00467533084681946
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,"beta_2",0.000955293744038792,0.0709892343703829,0.0896137390884182,0.944,0.00401143397048218
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,"beta_3",0.00186049033461618,0.102233668696658,0.126775710894448,0.952,0.00567464908002052
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,"gamma_1",0.000988455583816473,0.020635442269239,0.0284832887439173,0.94,0.00127431909849376
"n1400-b1_2-b2_2p5-b3_2p5",1400,0.6931472,0.9162907,0.9162907,"gamma_2",-0.000836197139847192,0.0234308178362956,0.0330748856800213,0.946,0.00148016196176151
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,"beta_1",0.00174991584155921,0.0835427819111661,0.104383856821532,0.954,0.00467220651795956
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,"beta_2",0.000917535326466784,0.070913333549239,0.089516497331928,0.942,0.00400709826683145
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,"beta_3",0.00227499234922821,0.103136709331839,0.127809000605079,0.958,0.0057206101818482
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,"gamma_1",0.00102796323884976,0.0192016298576709,0.0264412806192388,0.946,0.0011827794211297
"n1400-b1_2-b2_2p5-b3_2p8",1400,0.6931472,0.9162907,1.029619,"gamma_2",-0.000757142366734454,0.0218220601397421,0.0309040692551783,0.95,0.00138304087722194
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,"beta_1",0.00188756576313393,0.0835530433333437,0.104160881908066,0.956,0.00466211577265806
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,"beta_2",0.0015485437845022,0.0706546359697502,0.0893898122258483,0.952,0.00400103707545909
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,"beta_3",0.00164978110861981,0.102038519984185,0.126647216488368,0.954,0.00566902699475181
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,"gamma_1",0.00110714795411056,0.0184102482474674,0.0255147144606049,0.94,0.00114111965321509
"n1400-b1_2-b2_2p8-b3_2p5",1400,0.6931472,1.029619,0.9162907,"gamma_2",-0.000561827414077703,0.0210033646558741,0.0297143761491842,0.938,0.0013299603711998
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,"beta_1",0.0018967209498381,0.0834652018453057,0.104074936377692,0.956,0.00465826023749194
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,"beta_2",0.00148135946883782,0.0705564380876975,0.089279907570562,0.952,0.00399616736976302
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,"beta_3",0.00211307962630765,0.102780910957966,0.12753375118085,0.96,0.00570841108222518
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,"gamma_1",0.00118004870839057,0.0174309317749292,0.0241649306475256,0.946,0.00108048025973381
"n1400-b1_2-b2_2p8-b3_2p8",1400,0.6931472,1.029619,1.029619,"gamma_2",-0.000381673250787115,0.0197960636994124,0.0282243397506237,0.946,0.00126337944221305
"n600-b1_1-b2_2p5-b3_2p5",600,0,0.9162907,0.9162907,"beta_1",0.006264091858702,0.123013175105668,0.153835985307291,0.96,0.00688093289695275
"n600-b1_1-b2_2p5-b3_2p5",600,0,0.9162907,0.9162907,"beta_2",0.0134837956509251,0.11369277393131,0.142879374964676,0.946,0.00636761329608339
