job_id,data_n,beta_1_hr,beta_2_hr,beta_3_hr,output_dir
1151884,600,1,2.5,2.5,results/beta-grid-simulation/n600-b1_1-b2_2p5-b3_2p5
1151885,600,1,2.5,2.8,results/beta-grid-simulation/n600-b1_1-b2_2p5-b3_2p8
1151886,600,1,2.8,2.5,results/beta-grid-simulation/n600-b1_1-b2_2p8-b3_2p5
1151887,600,1,2.8,2.8,results/beta-grid-simulation/n600-b1_1-b2_2p8-b3_2p8
1151888,600,2,2.5,2.5,results/beta-grid-simulation/n600-b1_2-b2_2p5-b3_2p5
1151889,600,2,2.5,2.8,results/beta-grid-simulation/n600-b1_2-b2_2p5-b3_2p8
1151890,600,2,2.8,2.5,results/beta-grid-simulation/n600-b1_2-b2_2p8-b3_2p5
1151891,600,2,2.8,2.8,results/beta-grid-simulation/n600-b1_2-b2_2p8-b3_2p8
1151892,1000,1,2.5,2.5,results/beta-grid-simulation/n1000-b1_1-b2_2p5-b3_2p5
1151893,1000,1,2.5,2.8,results/beta-grid-simulation/n1000-b1_1-b2_2p5-b3_2p8
1151894,1000,1,2.8,2.5,results/beta-grid-simulation/n1000-b1_1-b2_2p8-b3_2p5
1151895,1000,1,2.8,2.8,results/beta-grid-simulation/n1000-b1_1-b2_2p8-b3_2p8
1151896,1000,2,2.5,2.5,results/beta-grid-simulation/n1000-b1_2-b2_2p5-b3_2p5
1151897,1000,2,2.5,2.8,results/beta-grid-simulation/n1000-b1_2-b2_2p5-b3_2p8
1151898,1000,2,2.8,2.5,results/beta-grid-simulation/n1000-b1_2-b2_2p8-b3_2p5
1151899,1000,2,2.8,2.8,results/beta-grid-simulation/n1000-b1_2-b2_2p8-b3_2p8
1151900,1400,1,2.5,2.5,results/beta-grid-simulation/n1400-b1_1-b2_2p5-b3_2p5
1151901,1400,1,2.5,2.8,results/beta-grid-simulation/n1400-b1_1-b2_2p5-b3_2p8
1151902,1400,1,2.8,2.5,results/beta-grid-simulation/n1400-b1_1-b2_2p8-b3_2p5
1151903,1400,1,2.8,2.8,results/beta-grid-simulation/n1400-b1_1-b2_2p8-b3_2p8
