"biomarker_pair","parameter","label","initial_value","reference_value","estimate","posterior_sd","empirical_bias","interval_95_lower","interval_95_upper","interval_95_width","interval_covers_reference","split_rhat","effective_sample_size"
"HER2_CA19-9","beta_treatment","Treatment",-0.509327165166681,,0.075511032722401,0.78256083656176,,-1.34428368063884,1.48710157332578,2.83138525396462,,1.00260413370598,1562.78581944815
"HER2_CA19-9","beta_subgroup","Biomarker-defined subgroup",-0.153868450757917,,0.238167086798442,0.498538651081385,,-0.737021061874653,1.0408567540623,1.77787781593696,,1.00170872681073,3203.40479986727
"HER2_CA19-9","beta_treatment_x_subgroup","Treatment x subgroup",0.363073671107096,,-0.304772415789955,0.835566591813775,,-1.74297698891334,1.22428737071114,2.96726435962447,,1.00321495479588,1331.22862888892
"HER2_CA19-9","gamma_bio30","HER-2 (bio30)",-0.6,,0.479594183650239,0.711451748110809,,-0.769980114665055,1.82107790420965,2.5910580188747,,1.00763585533579,664.955438505751
"HER2_CA19-9","gamma_bio3","CA19-9 (bio3)",0.5,,0.0105041365722355,0.722392748733,,-1.45730059226515,1.13514236585672,2.59244295812188,,1.00426144194718,666.00263865875
"HER2_Axl","beta_treatment","Treatment",-0.136747294708072,,-0.328325917686645,1.01297834313178,,-2.86943364380332,1.10656519088686,3.97599883469019,,1.00197181531639,789.370137873144
"HER2_Axl","beta_subgroup","Biomarker-defined subgroup",-0.371870689206165,,0.108872315122469,0.7023364834436,,-2.10983858849415,0.963334403352544,3.07317299184669,,1.00273497952663,1485.71996815104
"HER2_Axl","beta_treatment_x_subgroup","Treatment x subgroup",-0.0624777863357554,,0.120114490747259,1.06956510236982,,-1.41828733758541,2.69096636814632,4.10925370573173,,1.00223709596577,703.787464558841
"HER2_Axl","gamma_bio30","HER-2 (bio30)",-0.6,,0.076447324907022,0.755599848593373,,-1.17623789047423,1.28796407226076,2.46420196273499,,1.00474727375633,374.587300646761
"HER2_Axl","gamma_bio37","Axl (bio37)",0.5,,-0.148727336727173,0.681635593971814,,-1.3230327154084,1.22648958123039,2.54952229663879,,1.00560118512126,469.569616301367
"CA19-9_Axl","beta_treatment","Treatment",-0.467320209851101,,-0.859144819137159,0.98622607222749,,-4.21072217743946,-0.00367237589663167,4.20704980154283,,1.00763390000812,1390.0644703245
"CA19-9_Axl","beta_subgroup","Biomarker-defined subgroup",-0.272490139691354,,-0.115205839954171,1.0064949898204,,-4.32241381929111,0.572888143485122,4.89530196277623,,1.01045587853011,902.992948749153
"CA19-9_Axl","beta_treatment_x_subgroup","Treatment x subgroup",0.307235590180865,,0.758139772700759,0.978135192742704,,-0.171667003795506,4.02240090129979,4.1940679050953,,1.00710105910149,1464.40469545073
"CA19-9_Axl","gamma_bio3","CA19-9 (bio3)",0.5,,0.641393335450748,0.57917973946876,,-0.721093520066436,1.34037303453132,2.06146655459776,,1.01422538965417,404.033423131966
"CA19-9_Axl","gamma_bio37","Axl (bio37)",0.5,,-0.921163413997918,0.614637150662104,,-2.0804408916912,0.34740257209906,2.42784346379026,,1.0112823286422,595.234046727606
