"model","group","n","events","censored","median_time"
"HER2_CA19-9_Axl","Control / Below threshold",20,17,3,6.45585
"HER2_CA19-9_Axl","Treated / Below threshold",21,15,6,8.3121
"HER2_CA19-9_Axl","Control / Above threshold",264,230,34,5.9138
"HER2_CA19-9_Axl","Treated / Above threshold",264,223,41,6.1109
"HER2_CA19-9","Control / Below threshold",9,8,1,7.3593
"HER2_CA19-9","Treated / Below threshold",9,9,0,4.2382
"HER2_CA19-9","Control / Above threshold",275,239,36,5.9138
"HER2_CA19-9","Treated / Above threshold",276,229,47,6.3737
"HER2_Axl","Control / Above threshold",284,247,37,5.9138
"HER2_Axl","Treated / Above threshold",285,238,47,6.3737
"CA19-9_Axl","Control / Below threshold",33,28,5,5.6509
"CA19-9_Axl","Treated / Below threshold",41,29,12,8.3121
"CA19-9_Axl","Control / Above threshold",251,219,32,5.9466
"CA19-9_Axl","Treated / Above threshold",244,209,35,6.078
